,comm_date,author,author_id,likes,comment,video_id
0,2024-12-07T00:04:51Z,@kedaimaudiyakaptenpisang3266,UCzAWoXR-AHXLvz04J2hNAAg,0,Tempo luar biasa,pLMdSQb6cAY
1,2024-12-06T11:26:45Z,@andheybadi234,UCUWT8YrOjqAz3vNxjudM-RA,0,Media kritis tajam❤,pLMdSQb6cAY
2,2024-12-06T01:39:38Z,@erniati2252,UCMn_JbMWhJa1ycNC-pwwZNw,0,"Jangan pilih calon yg didukung oleh jokowi, karena untuk kepentingan 2029, demi kepentingan dinastinya",pLMdSQb6cAY
3,2024-12-05T13:11:47Z,@achitzainal5435,UCGmym5LyRlsHW5Ro0oblTxw,0,Mulyono ahlinya bikin kerusakan,pLMdSQb6cAY
4,2024-12-05T03:22:40Z,@wendriyana16,UCMup7E3ppgATCIKaLbqIA9w,1,"Ahok kalau bisa jgn agung2kan 
Seperti nya bisa dipuncak nantinya daya rusaknya ga beda jauh dari mulyono",pLMdSQb6cAY
5,2024-12-05T00:40:34Z,@AtikSusiati,UCXnuCNz8N2M7TeM4UJNAiCw,0,Hadir anak Abah. 👍👍👍🥰🥰🥰🙏,pLMdSQb6cAY
6,2024-12-04T16:41:00Z,@prologika7364,UCT-U7hwSHKHlmTvbVMTfzOA,0,Jokowi. Sekarang Jual Jasa Endors,pLMdSQb6cAY
7,2024-12-04T16:00:32Z,@prologika7364,UCT-U7hwSHKHlmTvbVMTfzOA,0,Tempo dari Zaman Orba sudah TOP !!,pLMdSQb6cAY
8,2024-12-04T13:00:34Z,@EkaGartika,UCEd3OqjzwNUHKcb7slaYjjw,0,Bpk prabowo jika ingin dicintai rakyat berlakulah adil dlm bidang apapun jgn sampai terjebak oleh hasutan apapun rakyat itu poko utama dujungan dlm berbagai hal,pLMdSQb6cAY
9,2024-12-04T12:10:49Z,@ar_fams89,UCUd-AgPQHvJx__KNESfZeag,0,Saya heran dengan tempo benar2 hebat. Berapa banyak sih orang dalamnya dipemerintahan😂😂😂,pLMdSQb6cAY
10,2024-12-04T09:35:40Z,@HiburanAsix-x4s,UCKHbmmTCNi7fem6M83RzWYw,0,mas Anies jangan mau jadi petugas partai merah,pLMdSQb6cAY
11,2024-12-04T08:21:59Z,@faridaratnadjuita1734,UCBtHLn4OcCy6JhYzMM7X5JQ,0,Presiden harusnya netral tdk menunjukkan dukungan krn berada di semua golongan,pLMdSQb6cAY
12,2024-12-04T05:16:56Z,@maryanto66,UC-XqJ9lC2CiIOzQ8bn3CLFA,0,"Bocor Alus pasti mendukung 03 seperti saya,,, anak'e Abah...
Semoga tidak ada rekayasa 
2 putaran di Jakarta...
Karena nurutin orang2 ngeyel..",pLMdSQb6cAY
